,productname,prices,descriptions,raitng & reviews,otherinfo
1298,ASUS Vivobook 15 Core i5 11th Gen,"₹42,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1299,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.2, (8 GB/256 GB SSD/Mac OS Big Sur
1300,ASUS Vivobook 15 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1301,HP Intel Core i5 11th Gen,"₹49,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1302,HP 15s (2023) Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.4, (16 GB/512 GB SSD/Windows 11 Home
1303,HP Chromebook (2023) Intel Core i5 11th Gen,"₹54,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Chrome Operating System256 GB SSD35.56 cm (14 inch) Display1M+ Android apps, Preinstalled G-suite apps, Linux kernel and apps, Chrome web extensions, Available online and offline, Google Chrome, Google Play Store, Google Drive, Gmail, Google Calendar, Google Photo, Google Map, YouTube, Google Docs, Google spreadsheet, Google Slide, Google Hangouts, Google Keep, Google Shopping, Google Play Movies & TV, Google Play Books Drawing canvas, Google Play Music, Google Play Games1 Year Onsite Warranty",4.3, (8 GB/256 GB SSD/Chrome OS
1304,HP (2023) Intel 12th Gen N305 Core i3,"₹40,990",Intel Core i3 Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,4, (8 GB/512 GB SSD/Windows 11 Home
1305,Acer One Core i3 11th Gen,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4.2, (8 GB/256 GB SSD/Windows 11 Home
1306,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"₹40,490",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD93.01 cm (36.62 cm) DisplayOffice Home and Student 20212 Year warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1307,Lenovo LOQ Ryzen 7 Octa Core 7840HS,"₹87,990",AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4, (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...
1308,Lenovo V15 Ryzen 5 Hexa Core 5500U,"₹35,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1309,HP 14s Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,3.6, (8 GB/256 GB SSD/Windows 11 Home
1310,HP 15s (2023) Intel Core i3 12th Gen,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1311,realme Book (Slim) Core i3 11th Gen,"₹36,999","Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",3.8, (8 GB/256 GB SSD/Windows 10 Home
1312,HP Victus Ryzen 5 Hexa Core 5600H,"₹65,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.86 cm (15.3 Inch) Display1 Year Onsite Warranty,3.8, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...
1313,HP Chromebook (2023) MediaTek Kompanio 1200,"₹42,990",MediaTek MediaTek Kompanio 1200 Processor8 GB LPDDR4X RAM64 bit Chrome Operating System256 GB SSD33.78 cm (13.3 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/256 GB SSD/Chrome OS
1314,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home and Student 20212 Year warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
1315,HP 15s (2023) Ryzen 3 Dual Core 3250U,"₹33,990",AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1316,Lenovo Ryzen 3 Quad Core 7320U,"₹36,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1317,Lenovo Ideapad Gaming 3 Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,4.1, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI...
1318,HP 247 G8 Athlon Dual Core AMD Athlon P3045B,"₹23,990",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System1 TB HDD35.56 cm (14 inch) DisplayWindows1 Year,4.1, (8 GB/1 TB HDD/Windows 11 Home
1319,ASUS Vivobook 14 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1320,HP Chromebook x360 Intel Celeron Quad Core,"₹19,990",Intel Celeron Quad Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite warranty,3.6, (4 GB/64 GB EMMC Storage/Chrome OS
1321,HP Chromebook x360 Intel Celeron Dual Core,"₹19,990",Intel Celeron Dual Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty,4.3, (4 GB/64 GB EMMC Storage/Chrome OS
1322,ASUS Vivobook 15 Core i5 11th Gen,"₹42,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1323,HP 15s (2023) Athlon Dual Core 3050U,"₹31,990",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1324,HP Intel Core i5 11th Gen,"₹49,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.4, (8 GB/512 GB SSD/Windows 11 Home
1325,ASUS Vivobook 15 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1326,Acer One Core i3 11th Gen,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4.3, (8 GB/256 GB SSD/Windows 11 Home
1327,HP Chromebook (2023) Intel Core i5 11th Gen,"₹54,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Chrome Operating System256 GB SSD35.56 cm (14 inch) Display1M+ Android apps, Preinstalled G-suite apps, Linux kernel and apps, Chrome web extensions, Available online and offline, Google Chrome, Google Play Store, Google Drive, Gmail, Google Calendar, Google Photo, Google Map, YouTube, Google Docs, Google spreadsheet, Google Slide, Google Hangouts, Google Keep, Google Shopping, Google Play Movies & TV, Google Play Books Drawing canvas, Google Play Music, Google Play Games1 Year Onsite Warranty",4, (8 GB/256 GB SSD/Chrome OS
1328,HP 15s (2023) Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1, (16 GB/512 GB SSD/Windows 11 Home
1329,HP 247 G8 Athlon Dual Core AMD Athlon P3045B,"₹23,990",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System1 TB HDD35.56 cm (14 inch) DisplayWindows1 Year,4.7, (8 GB/1 TB HDD/Windows 11 Home
1330,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"₹40,490",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD93.01 cm (36.62 cm) DisplayOffice Home and Student 20212 Year warranty,4, (8 GB/512 GB SSD/Windows 11 Home
1331,Lenovo LOQ Ryzen 7 Octa Core 7840HS,"₹87,990",AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...
1332,HP 15s (2023) Intel Core i3 12th Gen,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1333,Lenovo V15 Ryzen 5 Hexa Core 5500U,"₹35,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1334,realme Book (Slim) Core i3 11th Gen,"₹36,999","Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",3.8, (8 GB/256 GB SSD/Windows 10 Home
1335,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home and Student 20212 Year warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
1336,HP Victus Ryzen 5 Hexa Core 5600H,"₹65,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.86 cm (15.3 Inch) Display1 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...
1337,HP Chromebook (2023) MediaTek Kompanio 1200,"₹42,990",MediaTek MediaTek Kompanio 1200 Processor8 GB LPDDR4X RAM64 bit Chrome Operating System256 GB SSD33.78 cm (13.3 Inch) Display1 Year Onsite Warranty,4.7, (8 GB/256 GB SSD/Chrome OS
1338,Lenovo Intel Celeron Dual Core,"₹26,990",Intel Celeron Dual Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD39.62 cm (15.6 Inch) Display2 Years Onsite�Warranty,4.2, (8 GB/256 GB SSD/Windows 11 Home
1339,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.3, (8 GB/256 GB SSD/Mac OS Big Sur
1340,Lenovo Ryzen 3 Quad Core 7320U,"₹36,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1341,Lenovo Ideapad Gaming 3 Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,4.1, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI...
1342,HP Ryzen 5 Hexa Core 5500U,"₹40,999",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.5, (8 GB/512 GB SSD/Windows 11 Home
1343,HP 14s Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,4.1, (8 GB/256 GB SSD/Windows 11 Home
1344,HP Chromebook x360 Intel Celeron Quad Core,"₹19,990",Intel Celeron Quad Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite warranty,4.3, (4 GB/64 GB EMMC Storage/Chrome OS
1345,HP Chromebook x360 Intel Celeron Dual Core,"₹19,990",Intel Celeron Dual Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty,4.2, (4 GB/64 GB EMMC Storage/Chrome OS
1346,ASUS Vivobook 15 Core i5 11th Gen,"₹42,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1347,APPLE 2020 Macbook Air M1,"₹81,990","Apple M1 Processor8 GB DDR4 RAMMac OS Operating System256 GB SSD33.78 cm (13.3 inch) DisplayBuilt-in Apps: iMovie, Siri, GarageBand, Pages, Numbers, Photos, Keynote, Safari, Mail, FaceTime, Messages, Maps, Stocks, Home, Voice Memos, Notes, Calendar, Contacts, Reminders, Photo Booth, Preview, Books, App Store, Time Machine, TV, Music, Podcasts, Find My, QuickTime Player1 Year Limited Warra­nty",4.3, (8 GB/256 GB SSD/Mac OS Big Sur
1348,ASUS Vivobook 15 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.4, (8 GB/512 GB SSD/Windows 11 Home
1349,HP Intel Core i5 11th Gen,"₹49,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1350,HP 15s (2023) Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4, (16 GB/512 GB SSD/Windows 11 Home
1351,HP Chromebook (2023) Intel Core i5 11th Gen,"₹54,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Chrome Operating System256 GB SSD35.56 cm (14 inch) Display1M+ Android apps, Preinstalled G-suite apps, Linux kernel and apps, Chrome web extensions, Available online and offline, Google Chrome, Google Play Store, Google Drive, Gmail, Google Calendar, Google Photo, Google Map, YouTube, Google Docs, Google spreadsheet, Google Slide, Google Hangouts, Google Keep, Google Shopping, Google Play Movies & TV, Google Play Books Drawing canvas, Google Play Music, Google Play Games1 Year Onsite Warranty",4.2, (8 GB/256 GB SSD/Chrome OS
1352,HP (2023) Intel 12th Gen N305 Core i3,"₹40,990",Intel Core i3 Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD35.56 cm (14 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1353,Acer One Core i3 11th Gen,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4, (8 GB/256 GB SSD/Windows 11 Home
1354,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"₹40,490",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD93.01 cm (36.62 cm) DisplayOffice Home and Student 20212 Year warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1355,Lenovo LOQ Ryzen 7 Octa Core 7840HS,"₹87,990",AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,3.6, (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...
1356,Lenovo V15 Ryzen 5 Hexa Core 5500U,"₹35,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1357,HP 14s Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 inch) Display1 Year Onsite Warranty,3.8, (8 GB/256 GB SSD/Windows 11 Home
1358,HP 15s (2023) Intel Core i3 12th Gen,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
1359,realme Book (Slim) Core i3 11th Gen,"₹36,999","Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",4.3, (8 GB/256 GB SSD/Windows 10 Home
1360,HP Victus Ryzen 5 Hexa Core 5600H,"₹65,990",AMD Ryzen 5 Hexa Core Processor16 GB DDR4 RAMWindows 11 Operating System512 GB SSD38.86 cm (15.3 Inch) Display1 Year Onsite Warranty,4.1, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX...
1361,HP Chromebook (2023) MediaTek Kompanio 1200,"₹42,990",MediaTek MediaTek Kompanio 1200 Processor8 GB LPDDR4X RAM64 bit Chrome Operating System256 GB SSD33.78 cm (13.3 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/256 GB SSD/Chrome OS
1362,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home and Student 20212 Year warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1363,HP 15s (2023) Ryzen 3 Dual Core 3250U,"₹33,990",AMD Ryzen 3 Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
1364,Lenovo Ryzen 3 Quad Core 7320U,"₹36,990",AMD Ryzen 3 Quad Core Processor8 GB LPDDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 inch) Display1 Year Onsite warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
1365,Lenovo Ideapad Gaming 3 Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDI...
1366,HP 247 G8 Athlon Dual Core AMD Athlon P3045B,"₹23,990",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System1 TB HDD35.56 cm (14 inch) DisplayWindows1 Year,3.6, (8 GB/1 TB HDD/Windows 11 Home
1367,ASUS Vivobook 14 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD35.56 cm (14 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1368,HP Chromebook x360 Intel Celeron Quad Core,"₹19,990",Intel Celeron Quad Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite warranty,4.3, (4 GB/64 GB EMMC Storage/Chrome OS
1369,HP Chromebook x360 Intel Celeron Dual Core,"₹19,990",Intel Celeron Dual Core Processor4 GB LPDDR4 RAM64 bit Chrome Operating System35.56 cm (14 Inch) Touchscreen Display1 Year Onsite Warranty,4.2, (4 GB/64 GB EMMC Storage/Chrome OS
1370,ASUS Vivobook 15 Core i5 11th Gen,"₹42,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.4, (8 GB/512 GB SSD/Windows 11 Home
1371,HP 15s (2023) Athlon Dual Core 3050U,"₹31,990",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.2, (8 GB/512 GB SSD/Windows 11 Home
1372,HP Intel Core i5 11th Gen,"₹49,990",Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1373,ASUS Vivobook 15 Core i3 11th Gen,"₹34,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4, (8 GB/512 GB SSD/Windows 11 Home
1374,Acer One Core i3 11th Gen,"₹26,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System256 GB SSD35.56 cm (14 Inch) Display1 Year Warranty,4.1, (8 GB/256 GB SSD/Windows 11 Home
1375,HP Chromebook (2023) Intel Core i5 11th Gen,"₹54,990","Intel Core i5 Processor (11th Gen)8 GB DDR4 RAM64 bit Chrome Operating System256 GB SSD35.56 cm (14 inch) Display1M+ Android apps, Preinstalled G-suite apps, Linux kernel and apps, Chrome web extensions, Available online and offline, Google Chrome, Google Play Store, Google Drive, Gmail, Google Calendar, Google Photo, Google Map, YouTube, Google Docs, Google spreadsheet, Google Slide, Google Hangouts, Google Keep, Google Shopping, Google Play Movies & TV, Google Play Books Drawing canvas, Google Play Music, Google Play Games1 Year Onsite Warranty",4.7, (8 GB/256 GB SSD/Chrome OS
1376,HP 15s (2023) Intel Core i5 11th Gen,"₹52,990",Intel Core i5 Processor (11th Gen)16 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,4, (16 GB/512 GB SSD/Windows 11 Home
1377,HP 247 G8 Athlon Dual Core AMD Athlon P3045B,"₹23,990",AMD Athlon Dual Core Processor8 GB DDR4 RAMWindows 11 Operating System1 TB HDD35.56 cm (14 inch) DisplayWindows1 Year,4.3, (8 GB/1 TB HDD/Windows 11 Home
1378,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U,"₹40,490",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD93.01 cm (36.62 cm) DisplayOffice Home and Student 20212 Year warranty,4.3, (8 GB/512 GB SSD/Windows 11 Home
1379,Lenovo LOQ Ryzen 7 Octa Core 7840HS,"₹87,990",AMD Ryzen 7 Octa Core Processor16 GB DDR5 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayMicrosoft Office Home & Student 20211 Year Onsite Warranty,4.3, (16 GB/512 GB SSD/Windows 11 Home/6 GB Graphics/NVIDIA GeForce R...
1380,HP 15s (2023) Intel Core i3 12th Gen,"₹39,990",Intel Core i3 Processor (12th Gen)8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
1381,Lenovo V15 Ryzen 5 Hexa Core 5500U,"₹35,990",AMD Ryzen 5 Hexa Core Processor8 GB DDR4 RAMWindows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) Display1 Year Onsite Warranty,3.8, (8 GB/512 GB SSD/Windows 11 Home
1382,realme Book (Slim) Core i3 11th Gen,"₹36,999","Stylish & Portable Thin and Light Laptop14 inch 2K QHD, IPS LCD Display ( 400nits peak brightness, 100% sRGB, 3:2 aspect ratio, Full Vision Display)Finger Print Sensor for Faster System AccessLight Laptop without Optical Disk DriveIntel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 10 Operating System256 GB SSD35.56 cm (14 inch) DisplayNA1 Year Domestic Warranty",4.3, (8 GB/256 GB SSD/Windows 10 Home
1383,Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen,"₹35,990",Intel Core i3 Processor (11th Gen)8 GB DDR4 RAM64 bit Windows 11 Operating System512 GB SSD39.62 cm (15.6 Inch) DisplayOffice Home and Student 20212 Year warranty,4.1, (8 GB/512 GB SSD/Windows 11 Home
